"Country_code","Year","Species","Pop"
"BWA",2000,"LR",2600000
"CAF",2000,"LR",3128000
"CIV",2000,"LR",1308030
"CMR",2000,"LR",5882000
"COD",2000,"LR",822355
"COG",2000,"LR",87000
"COM",2000,"LR",51000
"CPV",2000,"LR",21500
"DJI",2000,"LR",297000
"EGY",2000,"LR",7059720
"ERI",2000,"LR",2150000
"ETH",2000,"LR",33075330
"GAB",2000,"LR",36000
"GEO",2000,"LR",1177400
"GHA",2000,"LR",1302000
"GIN",2000,"LR",2876189
"GMB",2000,"LR",364113
"GNB",2000,"LR",512040
"GNQ",2000,"LR",4950
"IND",2000,"LR",285755000
"IRN",2000,"LR",8760700
"IRQ",2000,"LR",1465000
"JOR",2000,"LR",60521
"KEN",2000,"LR",11444800
"KGZ",2000,"LR",932273
"KWT",2000,"LR",20555
"LBN",2000,"LR",77000
"LBR",2000,"LR",36000
"LKA",2000,"LR",1452100
"MLI",2000,"LR",5934736
"MOZ",2000,"LR",780000
"MRT",2000,"LR",1519590
"MWI",2000,"LR",763724
"NAM",2000,"LR",2504930
"NER",2000,"LR",5481952
"NGA",2000,"LR",15118300
"NPL",2000,"LR",10549118
"OMN",2000,"LR",299000
"PAK",2000,"LR",44673000
"PSE",2000,"LR",23688
"QAT",2000,"LR",14831
"RWA",2000,"LR",732123
"SAU",2000,"LR",290506
"SEN",2000,"LR",2986000
"SLE",2000,"LR",200000
"SOM",2000,"LR",5139000
"STP",2000,"LR",4100
"SYR",2000,"LR",987217
"TCD",2000,"LR",11460000
"TGO",2000,"LR",275800
"TJK",2000,"LR",1049889
"TKM",2000,"LR",1400000
"TUR",2000,"LR",10882430
"TUR2",2000,"LR",336570
"TZA",2000,"LR",16713000
"UGA",2000,"LR",5965500
"UZB",2000,"LR",5281800
"YEM",2000,"LR",1283000
"ZMB",2000,"LR",2620987
"ZWE",2000,"LR",6186000
"AFG",2001,"LR",2249000
"AGO",2001,"LR",4000000
"AllAF",2001,"LR",165375252
"AllAS",2001,"LR",413123051
"AllCA",2001,"LR",21203100
"AllEA",2001,"LR",61682511
"AllME",2001,"LR",12013354
"AllSAARC",2001,"LR",320511135
"AllSADC",2001,"LR",37300784
"AllWA",2001,"LR",45188857
"AllWE",2001,"LR",80598562
"ARE",2001,"LR",101795
"ARM",2001,"LR",497792
"AZE",2001,"LR",2021549
"BDI",2001,"LR",360440
"BEN",2001,"LR",1598592
"BFA",2001,"LR",4894190
"BGD",2001,"LR",23300000
"BHR",2001,"LR",10000
"BTN",2001,"LR",327944
"BWA",2001,"LR",2468000
"CAF",2001,"LR",3200000
"CIV",2001,"LR",1336442
"CMR",2001,"LR",5800000
"COD",2001,"LR",792986
"COG",2001,"LR",90000
"COM",2001,"LR",53000
"CPV",2001,"LR",21500
"DJI",2001,"LR",297000
"EGY",2001,"LR",7333315
"ERI",2001,"LR",1950000
"ETH",2001,"LR",35383312
"GAB",2001,"LR",36000
"GEO",2001,"LR",1180200
"GHA",2001,"LR",1315000
"GIN",2001,"LR",3033942
"GMB",2001,"LR",323167
"GNB",2001,"LR",515000
"GNQ",2001,"LR",5000
"IND",2001,"LR",284833000
"IRN",2001,"LR",9006900
"IRQ",2001,"LR",1567000
"JOR",2001,"LR",65470
"KEN",2001,"LR",11475861
"KGZ",2001,"LR",947021
"KWT",2001,"LR",20331
"LBN",2001,"LR",78124
"LBR",2001,"LR",36000
"LKA",2001,"LR",1443500
"MLI",2001,"LR",6116077
"MOZ",2001,"LR",722199
"MRT",2001,"LR",1565178
"MWI",2001,"LR",749029
"NAM",2001,"LR",2508570
"NER",2001,"LR",5810869
"NGA",2001,"LR",15133400
"NPL",2001,"LR",10606691
"OMN",2001,"LR",313500
"PAK",2001,"LR",45759000
"PSE",2001,"LR",26601
"QAT",2001,"LR",9671
"RWA",2001,"LR",815898
"SAU",2001,"LR",306202
"SEN",2001,"LR",3061000
"SLE",2001,"LR",150000
"SOM",2001,"LR",5256000
"STP",2001,"LR",4100
"SYR",2001,"LR",839345
"TCD",2001,"LR",12068000
"TGO",2001,"LR",278500
"TJK",2001,"LR",1076700
"TKM",2001,"LR",1600000
"TUR",2001,"LR",10579790
"TUR2",2001,"LR",327210
"TZA",2001,"LR",17037000
"UGA",2001,"LR",6144000
"UZB",2001,"LR",5353400
"YEM",2001,"LR",1342000
"ZMB",2001,"LR",2700000
"ZWE",2001,"LR",6270000
"AFG",2002,"LR",3715000
"AGO",2002,"LR",3900000
"AllAF",2002,"LR",172057977
"AllAS",2002,"LR",414604913
"AllCA",2002,"LR",21719300
"AllEA",2002,"LR",67562227
"AllME",2002,"LR",12628250
"AllSAARC",2002,"LR",319788401
"AllSADC",2002,"LR",36228444
"AllWA",2002,"LR",46548006
"AllWE",2002,"LR",82188262
"ARE",2002,"LR",107444
"ARM",2002,"LR",514782
"AZE",2002,"LR",2097859
"BDI",2002,"LR",324000
"BEN",2002,"LR",1639183
"BFA",2002,"LR",4992076
"BGD",2002,"LR",23430000
"BHR",2002,"LR",15000
"BTN",2002,"LR",327810
"BWA",2002,"LR",2000000
"CAF",2002,"LR",3273000
"CIV",2002,"LR",1365478
"CMR",2002,"LR",5600000
"COD",2002,"LR",761266
"COG",2002,"LR",93000
"COM",2002,"LR",55000
"CPV",2002,"LR",22000
"DJI",2002,"LR",297000
"EGY",2002,"LR",7798000
"ERI",2002,"LR",1900000
"ETH",2002,"LR",40638800
"GAB",2002,"LR",36000
"GEO",2002,"LR",1216000
"GHA",2002,"LR",1330000
"GIN",2002,"LR",3200347
"GMB",2002,"LR",326556
"GNB",2002,"LR",515000
"GNQ",2002,"LR",5000
"IND",2002,"LR",283956000
"IRN",2002,"LR",7828000
"IRQ",2002,"LR",1620000
"JOR",2002,"LR",68170
"KEN",2002,"LR",11939977
"KGZ",2002,"LR",969549
"KWT",2002,"LR",24969
"LBN",2002,"LR",88216
"LBR",2002,"LR",36000
"LKA",2002,"LR",1395037
"MLI",2002,"LR",6818343
"MOZ",2002,"LR",872000
"MRT",2002,"LR",1563665
"MWI",2002,"LR",753075
"NAM",2002,"LR",2329553
"NER",2002,"LR",6159521
"NGA",2002,"LR",15148600
"NPL",2002,"LR",10679554
"OMN",2002,"LR",319800
"PAK",2002,"LR",46888000
"PSE",2002,"LR",30105
"QAT",2002,"LR",9875
"RWA",2002,"LR",815450
"SAU",2002,"LR",322202
"SEN",2002,"LR",2996937
"SLE",2002,"LR",150000
"SOM",2002,"LR",5319000
"STP",2002,"LR",4300
"SYR",2002,"LR",869469
"TCD",2002,"LR",12708000
"TGO",2002,"LR",284300
"TJK",2002,"LR",1106972
"TKM",2002,"LR",1750000
"TUR",2002,"LR",10365420
"TUR2",2002,"LR",320580
"TZA",2002,"LR",17367000
"UGA",2002,"LR",6328000
"UZB",2002,"LR",5416100
"YEM",2002,"LR",1355000
"ZMB",2002,"LR",2517550
"ZWE",2002,"LR",5673000
"AFG",2003,"LR",3829000
"AGO",2003,"LR",3800000
"AllAF",2003,"LR",175704616
"AllAS",2003,"LR",415407057
"AllCA",2003,"LR",22674550
"AllEA",2003,"LR",66971700
"AllME",2003,"LR",12908009
"AllSAARC",2003,"LR",319240383
"AllSADC",2003,"LR",36196134
"AllWA",2003,"LR",49862232
"AllWE",2003,"LR",83258665
"ARE",2003,"LR",113082
"ARM",2003,"LR",536257
"AZE",2003,"LR",2178556
"BDI",2003,"LR",355222
"BEN",2003,"LR",1676000
"BFA",2003,"LR",7311544
"BGD",2003,"LR",23590000
"BHR",2003,"LR",11000
"BTN",2003,"LR",334614
"BWA",2003,"LR",2028000
"CAF",2003,"LR",3347000
"CIV",2003,"LR",1392787
"CMR",2003,"LR",5800000
"COD",2003,"LR",759820
"COG",2003,"LR",100000
"COM",2003,"LR",45000
"CPV",2003,"LR",21823
"DJI",2003,"LR",297000
"EGY",2003,"LR",8004000
"ERI",2003,"LR",1927457
"ETH",2003,"LR",39000000
"GAB",2003,"LR",35000
"GEO",2003,"LR",1242500
"GHA",2003,"LR",1344000
"GIN",2003,"LR",3375879
"GMB",2003,"LR",396000
"GNB",2003,"LR",520000
"GNQ",2003,"LR",5050
"IND",2003,"LR",283102992
"IRN",2003,"LR",7927000
"IRQ",2003,"LR",1540000
"JOR",2003,"LR",66360
"KEN",2003,"LR",12531324
"KGZ",2003,"LR",988016
"KWT",2003,"LR",27444
"LBN",2003,"LR",86182
"LBR",2003,"LR",36000
"LKA",2003,"LR",1419180
"MLI",2003,"LR",7022894
"MOZ",2003,"LR",961000
"MRT",2003,"LR",1600000
"MWI",2003,"LR",781747
"NAM",2003,"LR",2336094
"NER",2003,"LR",6529092
"NGA",2003,"LR",15163700
"NPL",2003,"LR",10793597
"OMN",2003,"LR",326200
"PAK",2003,"LR",48103000
"PSE",2003,"LR",33235
"QAT",2003,"LR",10073
"RWA",2003,"LR",991697
"SAU",2003,"LR",331933
"SEN",2003,"LR",3017513
"SLE",2003,"LR",170000
"SOM",2003,"LR",5350000
"STP",2003,"LR",4500
"SYR",2003,"LR",940500
"TCD",2003,"LR",13383000
"TGO",2003,"LR",285000
"TJK",2003,"LR",1151736
"TKM",2003,"LR",1900000
